Match_ID,Match_Day,Date,Time,Home_Team,Score_Home,Away_Team,Score_Away
929419,10,Unknown Date,12:00 AM,Aston Villa,4,Liverpool,2
929420,10,Unknown Date,12:00 AM,Everton,0,Crystal Palace,2
929421,10,Unknown Date,12:00 AM,Norwich,1,Sheff Wed,0
929422,10,Unknown Date,12:00 AM,Oldham Athletic,4,Ipswich,2
929423,10,Unknown Date,12:00 AM,QPR,3,Middlesbrough,3
929424,10,Unknown Date,12:00 AM,Sheff Utd,1,Arsenal,1
929425,10,Unknown Date,12:00 AM,Southampton,1,Leeds,1
929426,10,Unknown Date,12:00 AM,Tottenham,1,Man Utd,1
929427,10,Unknown Date,12:00 AM,Wimbledon FC,1,Blackburn,1
929428,10,Unknown Date,12:00 AM,Man City,0,Chelsea,1
929429,10,Unknown Date,12:00 AM,Nottm Forest,1,Coventry,1
929430,11,Unknown Date,12:00 AM,Blackburn,2,Oldham Athletic,0
929431,11,Unknown Date,12:00 AM,Chelsea,0,Nottm Forest,0
929432,11,Unknown Date,12:00 AM,Coventry,1,Norwich,1
929433,11,Unknown Date,12:00 AM,Crystal Palace,1,Southampton,2
929434,11,Unknown Date,12:00 AM,Ipswich,0,Sheff Utd,0
929435,11,Unknown Date,12:00 AM,Leeds,2,Everton,0
929436,11,Unknown Date,12:00 AM,Man Utd,0,QPR,0
929437,11,Unknown Date,12:00 AM,Middlesbrough,2,Aston Villa,3
929438,11,Unknown Date,Unknown Time,Liverpool,2,Wimbledon FC,3
929439,11,Unknown Date,12:00 AM,Sheff Wed,2,Tottenham,0
929440,11,Unknown Date,12:00 AM,Arsenal,1,Man City,0
929441,12,Unknown Date,12:00 AM,Arsenal,2,Chelsea,1
929442,12,Unknown Date,12:00 AM,Blackburn,7,Norwich,1
929443,12,Unknown Date,12:00 AM,Coventry,2,Crystal Palace,2
929444,12,Unknown Date,12:00 AM,Ipswich,4,Leeds,2
929445,12,Unknown Date,12:00 AM,Liverpool,1,Sheff Wed,0
929446,12,Unknown Date,12:00 AM,Man City,2,Nottm Forest,2
929447,12,Unknown Date,12:00 AM,Middlesbrough,1,Man Utd,1
929448,12,Unknown Date,12:00 AM,QPR,4,Tottenham,1
929449,12,Unknown Date,12:00 AM,Sheff Utd,2,Southampton,0
929450,12,Unknown Date,12:00 AM,Wimbledon FC,2,Aston Villa,3
929451,12,Unknown Date,12:00 AM,Oldham Athletic,1,Everton,0
929452,13,Unknown Date,12:00 AM,Chelsea,2,Ipswich,1
929453,13,Unknown Date,12:00 AM,Crystal Palace,0,Man City,0
929454,13,Unknown Date,12:00 AM,Everton,1,Coventry,1
929455,13,Unknown Date,12:00 AM,Leeds,3,Sheff Utd,1
929456,13,Unknown Date,12:00 AM,Norwich,2,QPR,1
929457,13,Unknown Date,12:00 AM,Nottm Forest,0,Arsenal,1
929458,13,Unknown Date,12:00 AM,Sheff Wed,2,Oldham Athletic,1
929459,13,Unknown Date,12:00 AM,Southampton,2,Wimbledon FC,2
929460,13,Unknown Date,12:00 AM,Tottenham,2,Middlesbrough,2
929461,13,Unknown Date,12:00 AM,Man Utd,2,Liverpool,2
929462,13,Unknown Date,12:00 AM,Aston Villa,0,Blackburn,0
929463,14,Unknown Date,12:00 AM,Arsenal,2,Everton,0
